Token;Label;accord
vendait;;
son;;
vin;;
et;;
ne;;
buvait;;
"
";;
que;;
sa;;
boisson;;
;;
";";;
mais;;
0;;
comme;;
l';;
argent;;
qu';;
ella;;
ti-;;
"
";;
rait;;
de;;
son;;
vin;;
suffisait;;
bien;;
juste;;
0;;
aveo;;
oelui;;
de;;
"
";;
son;;
beurre;;
et;;
de;;
ses;;
fremages;;
0;;
a;;
payer;;
l';;
imp6;;
t;;
et;;
"
";;
les;;
fagons;;
de;;
son;;
ehamp;;
et;;
de;;
savigne;LOC;NA
0;;
at;;
qu';;
il;;
lui;;
"
";;
fllait;;
oneore;;
se;;
procurer;;
quelque;;
argent;;
pour;;
son;;
"
";;
entretien;;
0;;
elle;;
levait;;
des;;
oisons;;
quelle;;
achetait;;
"
";;
1;;
.;;
Hau;;
passee;;
sur;;
la;;
rpe;;
ou;;
lo;;
maro;;
de;;
la;;
vandlange.-RNANOE;;
DE;PER;NA
JRANNI;PER;PER
.;;
"
";;
au;;
sortir;;
de;;
Ia;LOC;NA
eoquo;;
.;;
Elle;;
se;;
donnait;;
heaueoup;;
da;;
"
";;
mal;;
pour;;
uppter;PER;NA
ces;;
petites;;
htas;LOC;NA
et;;
pour;;
les;;
"
";;
garantir;;
du;;
froid;;
pondant;;
la;;
nuit;;
.;;
Ses;;
voisines;;
"
";;
plumaient;;
leurs;;
oioes;;
quatre;;
fois;;
avant;;
de;;
les;;
ven-;;
"
";;
LL;ORG;NA
"
";;
l;;
"
";;
II;PER;NA
"
";PER;NA
II;PER;NA
"
";PER;NA
I;PER;NA
"
";PER;NA
I;PER;NA
"
";PER;NA
IIF;PER;NA
"

";PER;NA
M;PER;NA
"
";PER;NA
ii;PER;NA
"

";PER;NA
I;PER;NA
"
";PER;NA
I;PER;NA
"

";PER;NA
II;PER;NA
"
";PER;NA
E;PER;NA
"
";PER;NA
E;PER;NA
"

";PER;NA
g;PER;NA
"

";;
Chamnnlhrs;LOC;NA
de;;
ta;;
mn;;
Mamnnetta;ORG;NA
"
";ORG;NA
dre;ORG;NA
";";;
mais;;
la;;PER
mere;;PER
Nannette;LOC;PER
disait;;
que;;
eetait;;
une;;
"
";;
mauvaise;;
m6thode;;
0;;
paree;;
qu';;
ainsi;;
la;;
plume;;
n';;
a-;;
"
";;
vait;;
pas;;
le;;
temps;;
de;;
se;;
nourrir;;
0;;
et;;
elle;;
ne;;
plumait;;
"
";;
les;;
siennes;;
que;;
trois;;
fois;;
";";;
puis;;
elle;;
en;;
vendait;;
la;;
"
";;
moitie;;
pour;;
la;;
Toussaint;PER;MISC
et;;
l';;
antre;;
moiti6;;
a;;
Noel.rREMII;LOC;MISC
PMRTIR;LOC;NA
.;;
"
";;
Tout;;
cela;;
na;;
lui;;
ruapportuait;;
pus;;
une;;
grasse;;
aomma;;
";";;
];;
"
";;
mais;;
elle;;
6tait;;
si;;
m6nagbre;;
qu';;
il;;
lui;;
restait;;
touours;;
];;
"
";;
un;;
peu;;
dargent;;
a;;
la;;
fin;;
de;;
lann6e;;
.;;
Pourtnt;;
ella;;
];;
"
";;
ne;;
so;;
nourrissait;;
pas;;
trop;;
mal;;
0;;
diaant;;
quella;;
];;
"
";;
aimait;;
mieux;;
donner;;
au;;
bouher;MISC;NA
uno;MISC;NA
pibdeoe;MISC;NA
de;;
];;
"
";;
oinquanta;LOC;NA
entimes;;
toutaes;;
las;;
semaines;;
0;;
que;;
vingt-;;
];;
"
";;
ein;;
franes;;
par;;
an;;
au;;
mdecin;;
et;;
au;;
pharmaeien;;
.;;
];;
"
";;
Cuthorine;PER;PER
et;;
eanne;;PER
.;;
"
";;
Un;;
mutin;;
0;;
la;;PER
mbre;MISC;PER
Nannette;MISC;PER
0;;
tricotant;;
devant;;
sa;;
];;
"
";;
porte;;
0;;
vit;;
venir;;
h;;
lle;;
une;;
jeune;;
femme;;
qui;;
tenait;;
];;
"
";;
par;;
la;;
main;;
une;;
petite;;
flllo;;
de;;
sept;;
h;;
huit;;
ans;;
et;;
];;
"
";;
ui;;
lui;;
demanda;;
un;;
moreeau;PER;NA
de;PER;NA
puin;PER;NA
.;;
Comme;;
cette;;
];;
"
";;
femme;;
6tait;;
trs;LOC;NA
0;LOC;NA
ple;LOC;NA
et;;
avait;;
lair;;
malade;;
0;;
Ia;PER;PER
mre;PER;PER
];;
"
";;
Nannette;LOC;PER
l';;
emmena;;
dans;;
sa;;
maison;;
et;;
la;;
fit;;
asseoir;;
.;;
];;
"
";;
llo;PER;NA
ralluma;;
son;;
feu;;
0;;
fit;;
r6chauffr;;
un;;
reste;;
de;;
];;
"
";;
soupo;;
quelle;;
avait;;
gard6;;
pour;;
son;;
repas;;
du;;
soir;;
et;;
];;
"
";;
le;;
donna;;
aux;;
deux;;
mendiantes;;
.;;
Lenfant;PER;NA
mangea;;
];;
"
";;
de;;
sihon;PER;NA
cur;PER;NA
0;;
que;;
la;;PER
mbre;MISC;PER
Nannette;MISC;PER
vit;;
bien;;
que;;
];;
"
";;
cette;;
petite;;
fille;;
n';;
avait;;
pas;;
souvent;;
si;;
bonne;;
];;
"
";;
chance;;
.;;
Ensuite;;
elle;;
leur;;
versa;;
un;;
verre;;
de;;
boisson;;
];;
"
 ";;
cehaeune;PER;NA
0;;
et;;
dit;;
a;;
la;;
pauvre;;
femme;;
:;;
"
";;
a;;
Mon;MISC;NA
Dien;MISC;MISC
1;MISC;NA
il;;
faut;;
qu';;
il;;
vous;;
soit;;
arriv6;MISC;NA
un;;
"
";;
bien;;
grand;;
malheur;;
0;;
pourqu';;
une;;
femme;;
0;;
aussi;;
jeune;;
];;
"
";;
que;;
vous;;
0;;
ait;;
pu;;
se;;
deider;;
a;;
demander;;
son;;
pain;;
l;;
];;
"
";;
0;;
Ohl;PER;NA
oui;;
0;;
un;;
bien;;
grand;;
malheur;;
0;;
ma;;
hbre;;
];;
"
";;
femme;;
.;;
Il;;
faut;;
se;;
trouver;;
depourvue;;
de;;
toute;;
res-;;
];;
"
";;
souree;;
pour;;
se;;
rsoudre;;
a;;
en;;
venir;;
lhi;;
.;;
J';;
ai;;
biaen;;
];;
"
";;
soufftert;;
de;;
la;;
faim;;
avant;;
de;;
pouvoir;;
me;;
decider;;
a;;
"
";;
ieudre;;
la;;
main;;
";";;
je;;
ereis;;
que;;
je;;
ms;;
serais;;
plutdt;PER;NA
"
";PER;NA
Iaisse;PER;NA
mourir;;
0;;
si;;
je;;
n';;
avais;;
la;;
erainte;;
de;;
Dieu;MISC;MISC
et]NFANGR;;
DR;PER;NA
JEANNE;PER;PER
0;;
"
";;
si;;
jo;PER;NA
n';;
aimaia;;
tant;;
aett;;
pauvr;;
ianaeente;;
que;;
vaili;PER;NA
0;;
"
";;
at;;
qui;;
serait;;
morte;;
aussi;;
.;;
Quand;;
il;;
mn;;
oote;;
.;;
"

";;
0;;
"
";;
(;;
--;;
"
";;
---;;
.;;
"
";;
z;;
;;
"
";;
.;;
"
";;
Wl;LOC;NA
"
";;
.ei;;
"
";;
E;LOC;NA
"
";;
--;;
.;;
"
";;
L;;
"
";;
0;;
"
";;
:;;
:;;
"
";;
-F;;
"

";;
g;;
"
";;
t;;
;;
"
";;
:;;
i;;
"
";;
kI;LOC;NA
"

";LOC;NA
a;;
"

";;
`;;
"

";;
.;;
"
";;
u.;;
"
";;
5V;;
"
";;
LiI;PER;NA
"

";;
:;;
"
";;
ZAY;MISC;NA
"
";;
:;;
"
";;
il;;
"
";;
HI;;
"
";;
IE;MISC;NA
"
";;
.;;
"
";;
.;;
"
";;
L;;
"
";;
0;;
"
";;
=;;
..;;
"
";;
H;PER;NA
"

";PER;NA
.Eee-;PER;NA
"

";PER;NA
I;PER;NA
"
";PER;NA
H;PER;NA
"
";PER;NA
E;PER;NA
"

";PER;NA
E;PER;NA
"
";;
EER;ORG;NA
"




";;
g;;
"

";;
R;;
"
";;
atherine;;PER
at;;
eame;;PER
.;;
"
";;
trop;;
pour;;
aller;;
demander;;
0;;
je;;
la;;
regarde;;
et;;
je;;
re-;;
"
";;
prends;;
eourage;;
.;;
C';;
est;;
bien;;
triste;;
0;;
alles;;
0;;
ma;;
chre;;
"
";;
femme;;
0;;
quand;;
on;;
a;;
du;;
ceur;;
0;;
de;;
vivre;;
en;;
nePMIR;;
PARTIR;MISC;NA
.;;
"
";;
fisant;PER;NA
rin;PER;NA
0;;
aux;;
d6pana;;
da;;
ux;;
qui;;
truavaillentl;;
"
";;
mais;;
];;
e;;
n;;
pux;;
mpus;;
ifire;;
uutramnt;;
.;;
"
";;
0;;
Pourquaoi;;
dana;;
?;;
dit;;
la;;PER
mbre;;PER
Nannatte;;PER
.;;
Cun-;ORG;NA
"
";;
t;;
0;;
mOi;;
g.;LOC;
n;;
"
";;
la;;
puuvra;PER;NA
famma;PER;NA
dit;;
a;;
la;;PER
mra;;PER
Nunnatta;LOC;PER
:;;
"
 ";;
le;;
suis;;
du;;
villag;;
qui;;
est;;
auprbs;;
du;;
Cher;LOC;LOC
0;;
h;;
"
";;
wias;PER;NA
lieuss;PER;NA
d';PER;NA
iei;PER;NA
.;;
Il;;
y;;
a;;
deux;;
mois;;
0;;
joi;PER;NA
pertu;PER;NA
"
";PER;NA
mno;PER;NA
mari;;
i;;
la;;
suita;;
duna;;
groso;PER;NA
mualadia;PER;NA
qui;;
l';;
n;;
"
";;
retenu;;
au;;
lit;;
penlant;;
bion;PER;NA
longtmps;PER;NA
.;;
I';;
ai;;
vandu;;
"
";;
tout;;
co;;
quo;;
vais;;
afin;;
do;;
pouvoir;;
lo;;
soigner;;
.;;
"
";;
uand;;
il;;
ny;;
a;;
plus;;
rion;LOC;NA
u;LOC;NA
ala;LOC;NA
muison;LOC;NA
qua;LOC;NA
lo;LOC;NA
lit;;
"
";;
sur;;
laquel;;
il;;
6tait;;
eoueh6;;
0;;
il;;
a;;
bin;PER;NA
fallu;;
s';;
andettor;;
.;;
"
";;
Apres;LOC;NA
su;;
mort;;
0;;
on;;
a;;
vendu;;
la;;
maison;;
0;;
lo;;
jardin;;
0;;
"
";;
la;;
chbnevibre;LOC;NA
0;;
onfin;;
tout;;
0;;
pour;;
payer;;
le;;
decin;;
"
";;
et;;
les;;
autres;;
0;;
et;;
je;;
ne;;
sais;;
plus;;
oi;;
me;;
retirer;;
0;;
On;MISC;NA
"
";MISC;NA
no;MISC;NA
veut;MISC;NA
pas;MISC;NA
me;MISC;NA
louer;MISC;NA
0;;
meme;;
une;;
petite;;
chambre;;
0;;
"
";;
psree;;
que;;
je;;
n';;
ai;;
pas;;
de;;
mobilier;;
pour;;
repondro;;
"
";;
du;;
loyer;;
.;;
Je;;
couehe;;
avee;;
ma;;
petite;;
lehnno;;
dans;;
les;;
"
";;
granges;;
0;;
quand;;
on;;
veut;;
bien;;
m';;
y;;
souffrir;;
0;;
ou;;
bion;;
"
";;
sur;;
les;;
tas;;
de;;
ehaume;PER;NA
.;;
C';;
est;;
bon;;
 ;;
prsent;;
qu';;
il;;
"
";;
fait;;
chaud;;
";";;
mais;;
plus;;
tard;;
0;;
eomment;;
faire;;
aves;;
"
";;
ett;;
nfnt;;
0;;
mei;PER;NA
 ;PER;NA
i;PER;NA
ses;;
medesins;;
ont;;
d6fendu;PER;NA
"
";;
de;;
sortir;;
pendant;;
tout;;
l';;
hiver?s;MISC;NA
"
";;
Et;MISC;NA
la;MISC;NA
pauvre;MISC;NA
malheureus;MISC;NA
se;;
mit;;
 ;;
pleurer;;
.;;
Sa;;
"
";;
petite;;
fille;;
pleura;;
aussi;;
en;;
lembrassant;;
.;;
Elle;;
avait;;
"
";;
l';;
air;;
si;;
doux;;
et;;
si;;
aimable;;
0;;
cette;;
petite;;
0;;
que;;
la;;PER
"
";;
mre;;PER
Nannette;LOC;PER
sentit;;
fondre;;
son;;
ceur;;
en;;
pensant;;
"
 ";;
la;;
misbre;;
qu';;
elle;;
ondurerait;;
quand;;
l';;
hiver;;
serait;;
];;
"
";;
venu;;
.;;
Aussitdt;PER;
il;;
lui;;
vint;;
dans;;
lid6a;;
de;;
faire;;
une;;
];;
"
";;
honne;;
action;;
.;;
MNANY;PER;NA
D;PER;NA
JRANNR;PER;PER
.;;
"
";;
a;;PER
mro;;PER
annette;;PER
donno;;
asllo;;
a;;
atherino;;PER
.;;
"
";;
a;;
Commant;PER;NA
vous;;
uppele;;
0;;
vaoua;;
dona;;
t;;
demandu;;
"
";;
ln;;PER
mra;;PER
Nannaetto;ORG;PER
.;;
"
";;
0;;
On;;
m';;
apalla;;
Cathrine;PER;PER
Iblano;PER;
.;;
"
";;
0;;
h;;
bionl;;
Ctharino;;PER
0;;
];;
;;
ai;;
lh;;
un;;
vieux;;
lit;;
0;;
una;;
"
";;
puillasse;LOC;NA
at;LOC;NA
une;LOC;NA
oouverture;LOC;NA
";";;
si;;
vots;PER;NA
voule;PER;NA
rester;;
"
";;
lei;;
0;;
ja;;
vous;;
logerai;;
da;;
bion;PER;NA
hon;PER;NA
eur;PER;NA
oet;PER;NA
jae;PER;NA
vous;;
"
";;
asoiguerai;;
do;;
man;;
mieux;;
0;;
ainsi;;
quo;;
votre;;
petite;;
";";;
"
";;
i';;
aime;;
heaueoup;LOC;NA
les;;
enfants;;
";";;
j';;
en;;
ai;;
eu;;
quuatre;PER;NA
0;;
"
";;
que;;
lo;PER;NA
hon;PER;NA
bDieu;PER;MISC
m';;
a;;
retir6s;;
0;;
et;;
je;;
suis;;
bien;;
seule;;
"
";;
u;PER;NA
mnonde;PER;NA
.;;
"
";;
0;;
Grund;;
meroil;;
ma;;
brave;;
fomme;;
";";;
vous;;
me;;
"
";;
rendrez;;
l;;
un;;
service;;
qui;;
nous;;
suuvera;;
lu;;
vie;;
i;;
moi;;
"
";;
et;;
u;;
mon;;
enfant;;
.;;
;;
ai;;
encore;;
mon;;
lit;;
0;;
svee;PER;NA
un;;
"
";;
eoffre;;
et;;
une;;
petite;;
chaise;;
.;;
Muttre;PER;PER
Guillaume;PER;PER
0;;
le;;
"
";;
eousin;;
de;;
feu;;
mon;;
pauvre;;
homme;;
0;;
me;;
les;;
garde;;
"
";;
tluns;;
sa;;
grange;;
";";;
il;;
me;;
les;;
apportera;;
bien;;
diman-;;
"
";;
che;;
.;;
Si;;
vous;;
me;;
logez;;
avee;;
mon;;
ch6tif;;
mobilier;;
0;;
je;;
"
";;
vous;;
donnerai;;
les;;
sous;;
que;;
je;;
ramasserai;;
en;;
allant;;
"
";;
aux;;
portes;;
.;;
"
";;
0;;
Je;;
ne;;
vous;;
demande;;
rien;;
0;;
Catherine;PER;PER
";";;
j';;
aime;;
"
";;
dj;;
votre;;
petite;;
Jeanne;PER;PER
et;;
j';;
en;;
aurai;;
bien;;
soin;;
.;;
"
";;
Dieu;MISC;MISC
veut;;
que;;
nous;;
fassions;;
aux;;
autres;;
ce;;
que;;
"
";;
nous;;
voudrions;;
que;;
les;;
autres;;
fissent;;
pour;;
nous;;
";";;
"
";;
et;;
si;;
j6tais;;
dans;;
votre;;
position;;
0;;
jo;PER;NA
serais;;
bien;;
"
";;
heureuse;;
de;;
trouver;;
quelqu';;
un;;
qui;;
voult;PER;NA
me;;
re-;;
"
";;
cevoir;;
dans;;
sa;;
maison;;
.;;
"
";;
0;;
";";;
Peeeeeeea;MISC;
"
";;
a;;
Mamanl;PER;
il;;
ne;;
faut;;
plus;;
pleurer;;
0;;
n;;
lui;;
dit;;
0;;
elle;;
.;;
MIR;MISC;
PARTIR;MISC;
.;;
"
";;
Puis;;
0;;
sa;;
tournant;;
du;;
ohta;;
da;;
la;;PER
mra;MISC;PER
Nanntte;MISC;PER
0;;
"
";;
olla;;
dit;;
an;;
huiaasunt;;
la;;
tta;LOC;NA
:;;
"
";;
a;;
lo;;
vudrais;;
hian;;
vous;;
amhrasser;;
atussi;;
0;;
"
";;
In;LOC;PER
mbra;;PER
Nannaetta;PER;PER
la;;
prit;;
sur;;
ses;;
genoux;;
at;;
l';;
am-;;
"
";;
bruasu;;
de;;
bon;;
eur;;
.;;
"
";;
atherina;;PER
at;;
Jaanne;;PER
trouvant;;
un;;
raeelet;;
.;;
"
";;
Aprbs;PER;
qua;PER;
lu;;
mbre;;
et;;
la;;
fllla;PER;
asa;PER;
furont;PER;
rensies;;
0;;
"
";;
elles;;
so;;
rmnirut;;
an;;
chomin;;
pour;;
llr;;
eherehe;;
"
";;
leur;;
puin;PER;
dunas;PER;
la;PER;
campugne;PER;
0;;
en;;
diant;;
qu';;
olla;;
"
";;
reviondraiant;;
lo;;
soir;;
.;;
Commo;PER;
on;;
tuit;;
dans;;
lu;;
asui-;;
"
";;
son;;
des;;
prune;;
aet;;
des;;
groseilles;;
0;;
la;;PER
mire;;PER
Nannetta;MISC;PER
"
";;
an;;
alla;;
eueillir;;
au;;
iardin;PER;
oet;PER;
les;;
mit;;
dans;;
le;;
bissue;;
"
";;
lo;PER;NA
leann;PER;PER
0;;
pour;;
quelle;;
pt;ORG;NA
se;;
rafralehir;;
quand;;
"
";;
olle;;
aurait;;
trop;;
eluul;MISC;NA
.;;
"
";;
Comme;;
ellos;;
truaversuaient;;
la;;
grande;;
route;;
pour;;
"
";;
revenir;;
chez;;
la;;PER
mere;;PER
Nannette;LOC;PER
0;;
apres;;
avoir;;
achev;;
"
";;
leur;;
tournee;;
0;;
la;;PER
petite;;PER
Jeanne;PER;PER
vit;;
briller;;
un;;
objet;;
"
";;
au;;
soleil;;
";";;
elle;;
courut;;
le;;
ruamasser;;
et;;
lapportau;;
"
";;
joyeusement;;
a;;
sa;;
mere;;
.;;
"
";;
a;;
Voyez;PER;NA
done;PER;NA
0;;
maman;;
0;;
le;;
joli;;
eollier;;
que;;
jai;;
"
";;
trouv6;;
";";;
je;;
le;;
mettrai;;
dimanche;;
 ;;
mon;;
cou;;
"
";;
0;;
Ma;;
fille;;
0;;
ceei;;
est;;
un;;
bijou;;
qui;;
se;;
0;;
porte;;
au-;;
"
";;
tour;;
du;;
bras;;
et;;
quon;PER;NA
appelle;;
braeelet;;
.;;
Il;;
n';;
est;;
pas;;
"
";;
A;LOC;NA
nous;;
0;;
et;;
nous;;
ne;;
pouvons;;
pas;;
le;;
garder;;
.;;
"
";;
0;;
Pourquoi;;
donc;;
0;;
maman;;
?;;
Puisque;;
je;;
l';;
ai;;
"
";;
trouve;;
0;;
cest;;
bien;;
a;;
nous;;
.;;
"
";;
0;;
Non;;
0;;
ma;;
fille;;
";";;
ee;PER;NA
quon;PER;NA
trouve;;
ne;;
nous;;
ap-;;
"
";;
partient;;
pas;;
";";;
il;;
y;;
a;;
toujours;;
quelq';;
un;;
qui;;
l';;
a;;
"
";;
perdu;;
.;;
"
";;
0;;
Mais;;
0;;
maman;;
0;;
si;;
personne;;
ne;;
l';;
a;;
perdu?HNANC;;
D;;
JANNIH;;PER
.;;
"
";;
0;;
Ce;;
n';;
aast;;
pus;;
assihlo;LOC;NA
0;;
mon;;
anfant;;
:;;
les;;
biioux;;
"
";;
n;;
pouasont;;
pas;;
mma;ORG;NA
l';;
erha;;
duns;;
les;;
ohumps;;
.;;
"
";;
---;;
Et;MISC;NA
ai;MISC;NA
perasann;MISC;NA
n;;
la;;
ralemandaf;;
"
";;
0;;
Cn;;
ne;;
doit;;
pas;;
nous;;
empesher;;
da;PER;NA
sherher;PER;NA
"
";;
qui;;
ae;PER;NA
braaelet;PER;NA
put;;
appartanir;;
";";;
nous;;
nous;;
en;;
in-;;
"
";;
formerans;;
dans;;
tout;;
la;;
pays;;
.;;
"
";;
--;;
KEt;PER;NA
s';;
il;;
n';;
aest;;
 ;;
orsonnel;;
"
";;
--;;
Eh;PER;NA
bian;PER;NA
0;;
nus;;
la;;
garlerons;;
soigneuaseent;;
0;;
"
";;
at;;
l';;
an;;
finira;;
par;;
vnie;PER;NA
la;PER;NA
reluamer;PER;NA
.;;
s;;
"
";;
leunne;LOC;PER
n;;
paruaissunt;;
pus;;
trbhs;LOC;NA
0;LOC;NA
uontento;LOC;NA
0;;
asa;;
mbra;;
"
";;
Iui;PER;NA
dit;;
:;;
a;;
lcoute;;
-moi;;
0;;
ma;;
eunna;;
:;;
si;;
tu;;
avais;;
"
";;
erdu;;
ton;;
bissue;;
en;;
chin;LOC;NA
0;;
ne;;
seruaistu;;
pas;;
con-;;
"
";;
tente;;
qu';;
on;;
to;;
le;;
rendtt;;
"
";;
0;;
Oui;;
0;;
mumnan;;
0;;
cnr;ORG;NA
il;;
mest;;
bion;;
utile;;
pour;;
"
";;
mettre;;
le;;
pain;;
qu';;
on;;
me;;
donne;;
.;;
"
";;
0;;
Eh;;
binl;;
la;;
dume;LOC;NA
qui;;
a;;
perdu;;
ce;;
joyau;;
on;;
"
";;
est;;
en;;
peine;;
";";;
elle;;
le;;
regrette;;
comme;;
tu;;
regretterais;;
"
";;
ton;;
bissao;;
0;;
Des;LOC;NA
que;;
nous;;
suurons;;
oi;;
elle;;
demeue;;
0;;
"
";;
nous;;
le;;
lui;;
reporterons;;
.;;
n;;
"
";;
Quand;;
elles;;
furent;;
rentr6es;;
chez;;
la;;PER
mbre;;PER
Nan-;;PER
"
";;PER
nette;;PER
0;;
elles;;
lui;;
montrberent;;
ce;;
qu';;
elles;;
avaient;;
"
";;
trouv6;;
et;;
lui;;
demanderent;;
si;;
elle;;
savait;;
qui;;
pou-;;
"
";;
vait;;
aoir;;
perdu;;
un;;
si;;
beau;;
bijou;;
.;;
"
";;
a;;
Ce;;
ne;;
peut;;
etre;;
que;;
Mme;PER;PER
Dumont;PER;PER
";";;
il;;
ny;;
a;;
"
";;
qu';;
elle;;
dans;;
le;;
pays;;
ui;;
porte;;
des;;
ehoses;;
pareilles;;
.;;
"
";;
Elle;;
demeure;;
dans;;
le;;
voisinage;;
0;;
derrire;;
les;;
beaux;;
"
";;
arbres;;
que;;
l';;
on;;
voit;;
d';;
ici;;
.;;
Il;;
faut;;
aller;;
le;;
lui;;
repor-;;
"
";;
ter;PER;
tout;;
de;;
suite;;
0;;
si;;
vous;;
n';;
etes;;
point;;
trop;;
lasses;;
";";;
"
";;
je;;
suis;;
sre;;
quelle;;
en;;
est;;
fort;;
inquite;;
.;;
"
";;
0;;
le;;
suis;;
trop;;
fatiguee;;
pour;;
mareher;PER;NA
eneore;PER;NA
";";;
"
";;
mais;;
demain;;
matin;;
jirai;PER;NA
cehez;PER;NA
cette;;
dame;;
avec;;
"
";;
Jeanne;PER;PER
0;;
et;;
je;;
lui;;
rendrai;;
ce;;
qui;;
est;;
 ;;
elle;;
.;;
CommePRRMIRR;MISC;NA
PARTIR;MISC;NA
.;;
"
";;
on;;
nus;;
a;;
haeuueup;PER;NA
donne;;
aujourd'hui;;
ot;;
que;;
je;;
"
";;
auis;LOC;NA
trs;LOC;NA
0;;
lusse;;
0;;
ja;PER;NA
